year,block,flow_type,rubric,value_pct_gdp,source,chart
2055,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.938791,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.887456,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.837026,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.787889,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.740589,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.694486,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.64987,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.606948,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2063,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.565545,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2064,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.526374,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2065,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.488018,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2066,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.450095,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2067,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.413675,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"Pensiones CPE","Ingreso","Presupuesto del Estado",0.378686,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
