year,block,flow_type,rubric,value_pct_gdp,source,chart
2046,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.115918,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.124237,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.130902,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.138535,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.144401,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2051,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.133889,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2052,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.121426,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2053,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.110693,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2054,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.097909,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2055,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.087737,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.077446,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.068331,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.059924,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.053982,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.048635,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.045003,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.042489,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2063,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.041135,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2064,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.040418,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2065,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.040237,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2066,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.041228,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2067,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.043341,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.043965,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2069,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.045029,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2070,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.047403,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2020,"Pensiones contributivas","Ingreso","Transferencias de AC",0.874875,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2021,"Pensiones contributivas","Ingreso","Transferencias de AC",1.697349,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2022,"Pensiones contributivas","Ingreso","Transferencias de AC",1.58627,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2023,"Pensiones contributivas","Ingreso","Transferencias de AC",1.553227,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2024,"Pensiones contributivas","Ingreso","Transferencias de AC",1.554672,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2025,"Pensiones contributivas","Ingreso","Transferencias de AC",1.605258,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2026,"Pensiones contributivas","Ingreso","Transferencias de AC",1.615731,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2027,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627219,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2028,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627124,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2029,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2030,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2031,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2032,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2033,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2034,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2035,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2036,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2037,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2038,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2039,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2040,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2041,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2042,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2043,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2044,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2045,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2046,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2051,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2052,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2053,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2054,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2055,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2063,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2064,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2065,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2066,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2067,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2069,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2070,"Pensiones contributivas","Ingreso","Transferencias de AC",1.627034,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2020,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",12.325973,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2021,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.802027,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2022,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.136382,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2023,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.317024,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2024,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.373306,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2025,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.37626,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2026,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.421591,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2027,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.467972,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2028,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.514113,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2029,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.568787,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2030,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.674091,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2031,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.793755,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2032,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",11.930017,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2033,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",12.091966,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2034,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",12.263167,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2035,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",12.444051,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2036,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",12.629729,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2037,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",12.815913,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2038,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",13.008708,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2039,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",13.205616,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2040,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",13.398233,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2041,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",13.585485,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2042,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",13.765335,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2043,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",13.93536,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2044,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.093449,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2045,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.233715,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2046,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.355198,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.454532,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.531675,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.588109,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.622445,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2051,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.640077,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2052,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.639332,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2053,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.626668,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2054,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.600082,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2055,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.566084,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.525614,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.479796,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.428776,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.376189,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.322515,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.271973,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.222716,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2063,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.177433,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2064,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.13743,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2065,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.104628,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2066,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.081746,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2067,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.068366,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.066394,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2069,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.077629,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2070,"Pensiones contributivas","Gasto","Pensiones SS + complemento a mÃ­nimos",14.101158,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2020,"Pensiones contributivas","Gasto","No contributivas",0.227538,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2021,"Pensiones contributivas","Gasto","No contributivas",0.210448,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2022,"Pensiones contributivas","Gasto","No contributivas",0.2153,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2023,"Pensiones contributivas","Gasto","No contributivas",0.210656,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2024,"Pensiones contributivas","Gasto","No contributivas",0.216753,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2025,"Pensiones contributivas","Gasto","No contributivas",0.225502,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2026,"Pensiones contributivas","Gasto","No contributivas",0.236088,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2027,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2028,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2029,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2030,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2031,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2032,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2033,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2034,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2035,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2036,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2037,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2038,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2039,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2040,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2041,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2042,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2043,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2044,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2045,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2046,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2051,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2052,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2053,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2054,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2055,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"Pensiones contributivas","Gasto","No contributivas",0.247679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
