"anio","ambito_geografico","sexo","grupo_edad","edad_inicio","edad_fin","categoria_sanitaria","estado_dato","fuente_gasto","fuente_supervivencia","metodologia","gasto_per_capita_euros_2022","anos_persona_esperados","gasto_vital_esperado_tramo_euros_2022","porcentaje_sobre_gasto_vital_esperado"
"2022","Espana","Ambos sexos","85 a 89","85","89","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3825.57","2.210676","8457.09","4.8553"
"2022","Espana","Ambos sexos","90 a 94","90","94","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","4048.46","1.126205","4559.4","2.6176"
"2022","Espana","Ambos sexos","95 y más","95","100","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3896.17","0.345328","1345.45","0.7724"
"2022","Espana","Hombres","0 a 4","0","4","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3148.33","4.984265","15692.1","9.8603"
"2022","Espana","Hombres","5 a 9","5","9","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1349","4.980748","6719.05","4.222"
"2022","Espana","Hombres","10 a 14","10","14","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1257.3","4.978436","6259.37","3.9331"
"2022","Espana","Hombres","15 a 19","15","19","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1096.04","4.974266","5451.98","3.4258"
"2022","Espana","Hombres","20 a 24","20","24","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1144.68","4.966169","5684.67","3.572"
"2022","Espana","Hombres","25 a 29","25","29","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1181.97","4.956368","5858.3","3.6811"
"2022","Espana","Hombres","30 a 34","30","34","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1181.2","4.944737","5840.74","3.6701"
