"anio","ambito_geografico","sexo","grupo_edad","edad_inicio","edad_fin","indicador","categoria_sanitaria","estado_dato","fuente","url","gasto_per_capita_euros_2022"
"2022","Espana","Ambos sexos","75 a 79","75","79","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3250.50849489661"
"2022","Espana","Ambos sexos","80 a 84","80","84","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3506.01858718562"
"2022","Espana","Ambos sexos","85 a 89","85","89","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3825.56840369275"
"2022","Espana","Ambos sexos","90 a 94","90","94","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","4048.46304039837"
"2022","Espana","Ambos sexos","95 y más","95",,"Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3896.16771607032"
"2022","Espana","Hombres","0 a 4","0","4","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3148.32759418605"
"2022","Espana","Hombres","5 a 9","5","9","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1349.00405212856"
"2022","Espana","Hombres","10 a 14","10","14","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1257.29568143843"
"2022","Espana","Hombres","15 a 19","15","19","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1096.03638522316"
"2022","Espana","Hombres","20 a 24","20","24","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1144.67983015973"
