"ano","rubrica","rubrica_id","importe_miles_eur","importe_millones_eur","unidad_original","estado_dato","tipo_columna_fuente","tramo_fuente","fuente","url_fuente","notas"
"1995","Transferencias corrientes","transferencias_corrientes","19222269,41","19222,26941","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1995","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1995","Transferencias de capital","transferencias_de_capital","283025,76","283,02576","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1995","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Activos financieros","activos_financieros","295671,02","295,67102","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Cotizaciones sociales","cotizaciones_sociales","45155360,26","45155,36026","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Enajenación de inversiones reales","enajenacion_inversiones_reales","1019,62","1,01962","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Ingresos patrimoniales","ingresos_patrimoniales","100246,99","100,24699","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Operaciones corrientes","operaciones_corrientes","67715177,05","67715,17705","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Operaciones de capital","operaciones_de_capital","216670,99","216,67099","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Operaciones financieras","operaciones_financieras","2969364,04","2969,36404","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Operaciones no financieras","operaciones_no_financieras","67931848,04","67931,84804","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
