"ano","variable_id","variable","importe_millones_eur","porcentaje_sobre_total_publicado","total_recursos_millones_eur","suma_componentes_millones_eur","diferencia_suma_menos_total_millones_eur","estado_dato","fuente","notas"
"2002","transferencias_corrientes","Transferencias corrientes","7701,08","9,58","80371,1","80371,1","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2002","otros_ingresos","Otros ingresos","1840,92","2,29","80371,1","80371,1","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2002","total_recursos","Total recursos","80371,1","100","80371,1","80371,1","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2003","cotizaciones_sociales","Cotizaciones sociales","76429,56","92,47","82649,62","82649,62","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2003","transferencias_corrientes","Transferencias corrientes","4267,13","5,16","82649,62","82649,62","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2003","otros_ingresos","Otros ingresos","1952,93","2,37","82649,62","82649,62","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2003","total_recursos","Total recursos","82649,62","100","82649,62","82649,62","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2004","cotizaciones_sociales","Cotizaciones sociales","81871,04","92,34","88666,64","88666,64","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2004","transferencias_corrientes","Transferencias corrientes","4618,08","5,21","88666,64","88666,64","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2004","otros_ingresos","Otros ingresos","2177,52","2,45","88666,64","88666,64","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
