ano,cobertura,regimen,cotizaciones_numero,base_media_mensual_eur,tipo_cotizacion_total_pct,base_media_anual_eur,aportacion_anual_media_trabajador_empresa_eur,cotizacion_normal_calculada_millones_eur,estado_dato,fuente,archivo_bruto,nota
2000,"Regimen General; cotizaciones y bases medias","Regimen General",11642416,1112.41,28.30,13348.92,3777.74,43982.07,estimado,"Seguridad Social, Informe Economico-Financiero a los Presupuestos de la Seguridad Social de 2021","data/raw/seguridad-social/cotizacion-regimen-general/2026-06-03_seguridad-social_informe-economico-financiero-2021_cotizacion-rg_2000-2019.pdf","Indicador agregado por cotizacion media: base media mensual * 12 * tipo total 28,30%. No mide personas trabajadoras unicas ni aportacion vitalicia."
2001,"Regimen General; cotizaciones y bases medias","Regimen General",12124752,1169.11,28.30,14029.32,3970.30,48138.87,estimado,"Seguridad Social, Informe Economico-Financiero a los Presupuestos de la Seguridad Social de 2021","data/raw/seguridad-social/cotizacion-regimen-general/2026-06-03_seguridad-social_informe-economico-financiero-2021_cotizacion-rg_2000-2019.pdf","Indicador agregado por cotizacion media: base media mensual * 12 * tipo total 28,30%. No mide personas trabajadoras unicas ni aportacion vitalicia."
2002,"Regimen General; cotizaciones y bases medias","Regimen General",12471920,1218.78,28.30,14625.36,4138.98,51620.99,estimado,"Seguridad Social, Informe Economico-Financiero a los Presupuestos de la Seguridad Social de 2021","data/raw/seguridad-social/cotizacion-regimen-general/2026-06-03_seguridad-social_informe-economico-financiero-2021_cotizacion-rg_2000-2019.pdf","Indicador agregado por cotizacion media: base media mensual * 12 * tipo total 28,30%. No mide personas trabajadoras unicas ni aportacion vitalicia."
2003,"Regimen General; cotizaciones y bases medias","Regimen General",12902728,1273.06,28.30,15276.72,4323.31,55782.52,estimado,"Seguridad Social, Informe Economico-Financiero a los Presupuestos de la Seguridad Social de 2021","data/raw/seguridad-social/cotizacion-regimen-general/2026-06-03_seguridad-social_informe-economico-financiero-2021_cotizacion-rg_2000-2019.pdf","Indicador agregado por cotizacion media: base media mensual * 12 * tipo total 28,30%. No mide personas trabajadoras unicas ni aportacion vitalicia."
2004,"Regimen General; cotizaciones y bases medias","Regimen General",13272003,1321.83,28.30,15861.96,4488.93,59577.15,estimado,"Seguridad Social, Informe Economico-Financiero a los Presupuestos de la Seguridad Social de 2021","data/raw/seguridad-social/cotizacion-regimen-general/2026-06-03_seguridad-social_informe-economico-financiero-2021_cotizacion-rg_2000-2019.pdf","Indicador agregado por cotizacion media: base media mensual * 12 * tipo total 28,30%. No mide personas trabajadoras unicas ni aportacion vitalicia."
2005,"Regimen General; cotizaciones y bases medias","Regimen General",13902629,1371.72,28.30,16460.64,4658.36,64763.47,estimado,"Seguridad Social, Informe Economico-Financiero a los Presupuestos de la Seguridad Social de 2021","data/raw/seguridad-social/cotizacion-regimen-general/2026-06-03_seguridad-social_informe-economico-financiero-2021_cotizacion-rg_2000-2019.pdf","Indicador agregado por cotizacion media: base media mensual * 12 * tipo total 28,30%. No mide personas trabajadoras unicas ni aportacion vitalicia."
