"anio","ambito_geografico","sexo","edad","poblacion_residente_1_enero_personas","naturaleza","escenario","tipo_dato_ine","fuente"
"2024","Total Nacional","Hombres","84 años","71773","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","85 años","75367","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","86 años","76826","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","87 años","74429","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","88 años","64651","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","89 años","55217","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","90 años","47163","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","91 años","38950","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","92 años","29923","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","93 años","22893","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","94 años","16395","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","95 años","12115","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","96 años","7984","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Hombres","97 años","5509","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
