"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","tasa_bruta_mortalidad_defunciones_por_mil_habitantes"
"2052","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","11.824798"
"2053","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","11.962928"
"2054","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.095535"
"2055","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.223764"
"2056","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.344632"
"2057","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.458807"
"2058","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.561563"
"2059","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.652643"
"2060","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.731852"
"2061","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.796939"
"2062","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.849498"
"2063","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.889431"
"2064","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.928142"
"2065","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.948531"
"2066","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.953819"
"2067","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.945572"
"2068","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.921556"
"2069","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.884673"
"2070","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","12.835685"
