"anio","ambito_geografico","sexo","esperanza_vida_nacimiento_anios","tipo_dato","fuente"
"1994","Total Nacional","Hombres","74,47","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1994","Total Nacional","Mujeres","81,6","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1995","Total Nacional","Ambos sexos","78,12","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1995","Total Nacional","Hombres","74,53","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1995","Total Nacional","Mujeres","81,72","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1996","Total Nacional","Ambos sexos","78,26","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1996","Total Nacional","Hombres","74,66","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1996","Total Nacional","Mujeres","81,88","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1997","Total Nacional","Ambos sexos","78,76","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1997","Total Nacional","Hombres","75,29","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1997","Total Nacional","Mujeres","82,23","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1998","Total Nacional","Ambos sexos","78,87","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1998","Total Nacional","Hombres","75,42","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1998","Total Nacional","Mujeres","82,31","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1999","Total Nacional","Ambos sexos","78,87","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1999","Total Nacional","Hombres","75,43","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1999","Total Nacional","Mujeres","82,32","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2000","Total Nacional","Ambos sexos","79,34","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2000","Total Nacional","Hombres","75,93","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2000","Total Nacional","Mujeres","82,73","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2001","Total Nacional","Ambos sexos","79,67","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2001","Total Nacional","Hombres","76,27","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
