"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","edad_media_maternidad_anios","orden_nacimiento"
"2052","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.296475","Todos"
"2053","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.301428","Todos"
"2054","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.305739","Todos"
"2055","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.309237","Todos"
"2056","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.311989","Todos"
"2057","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.314423","Todos"
"2058","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.316883","Todos"
"2059","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.319593","Todos"
"2060","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.322675","Todos"
"2061","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.325983","Todos"
"2062","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.329114","Todos"
"2063","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.331646","Todos"
"2064","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.3334","Todos"
"2065","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.334308","Todos"
"2066","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.334192","Todos"
"2067","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.332959","Todos"
"2068","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.330727","Todos"
"2069","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.327653","Todos"
"2070","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.323951","Todos"
