"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacimientos_personas","sexo"
"2004","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","454591.0","Total"
"2005","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","466371.0","Total"
"2006","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","482957.0","Total"
"2007","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","492527.0","Total"
"2008","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","519779.0","Total"
"2009","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","494997.0","Total"
"2010","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","486575.0","Total"
"2011","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","471999.0","Total"
"2012","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","454648.0","Total"
"2013","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","425715.0","Total"
"2014","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","427595.0","Total"
"2015","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","420290.0","Total"
"2016","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","410583.0","Total"
"2017","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","393181.0","Total"
"2018","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","372777.0","Total"
"2019","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","360617.0","Total"
"2020","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","341315.0","Total"
"2021","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","337380.0","Total"
"2022","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","329251.0","Total"
"2023","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","320656.0","Total"
"2024","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","318005.0","Total"
