"anio","ambito_geografico","sexo","indicador","estado_dato","tipo_dato_ine","fuente","url_api","esperanza_vida_nacimiento_anios"
"1989","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.42"
"1989","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.36"
"1990","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.4"
"1990","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.41"
"1991","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.49"
"1991","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.65"
"1992","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.89"
"1992","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","81.14"
"1993","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","74.09"
"1993","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","81.23"
"1994","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","74.47"
