"anio","ambito_geografico","sexo","indicador","estado_dato","tipo_dato_ine","fuente","url_api","esperanza_vida_nacimiento_anios"
"2033","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","82.181976"
"2033","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.206547"
"2034","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","82.329509"
"2034","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.312734"
"2035","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","82.474481"
"2035","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.417803"
"2036","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","82.616872"
"2036","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.521748"
"2037","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","82.756668"
"2037","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.624559"
"2038","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","82.893862"
"2038","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.72623"
"2039","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.02845"
"2039","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.826755"
"2040","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.160432"
"2040","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","87.926129"
"2041","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.289812"
"2041","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.024347"
"2042","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.416601"
"2042","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.121405"
"2043","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.54081"
"2043","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.217303"
"2044","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.662456"
"2044","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.296778"
"2045","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.781558"
"2045","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.374786"
"2046","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","83.898139"
"2046","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.451331"
"2047","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.012226"
"2047","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.526418"
"2048","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.123846"
"2048","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.600052"
"2049","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.233031"
"2049","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.67224"
"2050","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.339814"
"2050","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.74299"
"2051","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.444231"
"2051","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.812311"
"2052","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.546318"
"2052","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.880212"
"2053","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.646116"
"2053","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","88.946704"
"2054","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.743663"
"2054","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.011798"
"2055","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.839003"
"2055","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.075507"
"2056","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","84.932179"
"2056","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.137843"
"2057","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.023233"
"2057","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.198821"
"2058","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.112211"
"2058","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.258455"
"2059","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.199159"
"2059","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.31676"
"2060","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.284123"
"2060","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.373751"
"2061","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.367148"
"2061","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.429445"
"2062","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.448282"
"2062","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.483858"
"2063","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.527571"
"2063","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.537008"
"2064","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.583131"
"2064","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.588912"
"2065","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.636765"
"2065","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.639589"
"2066","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.688526"
"2066","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.689056"
"2067","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.738466"
"2067","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.737332"
"2068","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.786639"
"2068","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.784436"
"2069","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.833095"
"2069","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.830388"
"2070","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","85.877885"
"2070","Total Nacional","Mujeres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","89.875206"
