"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","defunciones_personas","sexo"
"2005","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","387355.0","Total"
"2006","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","371478.0","Total"
"2007","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","385361.0","Total"
"2008","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","386324.0","Total"
"2009","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","384933.0","Total"
"2010","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","382047.0","Total"
"2011","Total Nacional","Numero de defunciones","observado","Nulo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","387911.0","Total"
"2012","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","402950.0","Total"
"2013","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","390419.0","Total"
"2014","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","395830.0","Total"
"2015","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","422568.0","Total"
"2016","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","410611.0","Total"
"2017","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","424523.0","Total"
"2018","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","427721.0","Total"
"2019","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","418703.0","Total"
"2020","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","493776.0","Total"
"2021","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","450744.0","Total"
"2022","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","464417.0","Total"
"2023","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","436124.0","Total"
"2024","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","436118.0","Total"
