"anio","ambito_geografico","sexo","edad_referencia","indicador","estado_dato","tipo_dato_ine","fuente","url_api","esperanza_vida_restante_anios"
"2029","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.858182"
"2029","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.773346"
"2029","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.06696"
"2029","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.883163"
"2029","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.281801"
"2029","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","21.998213"
"2030","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.957014"
"2030","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.855639"
"2030","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.162344"
"2030","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.963766"
"2030","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.373844"
"2030","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.077211"
"2031","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.054466"
"2031","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.937366"
"2031","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.256407"
"2031","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.043833"
"2031","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.46462"
"2031","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.155702"
"2032","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.150506"
"2032","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.01851"
"2032","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.349115"
"2032","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.123346"
"2032","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.554098"
"2032","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.233666"
"2033","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.245106"
"2033","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.099054"
"2033","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.44044"
"2033","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.202287"
"2033","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.642249"
"2033","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.311087"
"2034","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.338239"
"2034","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.17898"
"2034","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.530358"
"2034","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.280639"
"2034","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.72905"
"2034","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.387946"
"2035","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.429882"
"2035","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.258273"
"2035","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.618846"
"2035","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.358387"
"2035","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.814479"
"2035","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.464228"
"2036","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.520019"
"2036","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.336918"
"2036","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.705886"
"2036","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.435515"
"2036","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.898516"
"2036","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.539916"
"2037","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.608632"
"2037","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.4149"
"2037","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.791462"
"2037","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.512007"
"2037","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","18.981148"
"2037","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.614996"
