"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacionalidad","orden_nacimiento","indicador_coyuntural_fecundidad_hijos_por_mujer"
"2000","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.21"
"2001","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.24"
"2002","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.25"
"2003","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.3"
"2004","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.32"
"2005","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.33"
"2006","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.36"
"2007","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.38"
"2008","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.44"
"2009","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.38"
"2010","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.37"
"2011","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.34"
"2012","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.32"
"2013","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.27"
