"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","tasa_bruta_mortalidad_defunciones_por_mil_habitantes"
"2003","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","9.06"
"2004","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.62"
"2005","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.82"
"2006","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.33"
"2007","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.47"
"2008","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.36"
"2009","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.26"
"2010","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.17"
"2011","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.26"
"2012","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.58"
"2013","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.34"
