"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacionalidad","orden_nacimiento","edad_media_maternidad_anios"
"1988","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","28.58"
"1988","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","26.25"
"1989","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","28.72"
"1989","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","26.56"
"1990","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","28.86"
"1990","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","26.81"
"1991","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","29.04"
"1991","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","27.16"
"1992","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","29.26"
"1992","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","27.5"
"1993","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","29.47"
"1993","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","27.81"
"1994","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","29.74"
"1994","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","28.12"
"1995","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","29.98"
"1995","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","28.41"
"1996","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.21"
"1996","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","28.47"
"1997","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.4"
"1997","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","28.7"
"1998","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.56"
"1998","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","28.89"
"1999","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.68"
"1999","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","28.99"
"2000","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.74"
"2000","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.09"
"2001","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.77"
"2001","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.11"
