"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","indicador_coyuntural_fecundidad_hijos_por_mujer"
"2048","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.285131"
"2049","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.286212"
"2050","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.286975"
"2051","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.287493"
"2052","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.28784"
"2053","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.288138"
"2054","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.28856"
"2055","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.28922"
"2056","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.290207"
"2057","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.291597"
"2058","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.293402"
"2059","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.295623"
"2060","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.298234"
"2061","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.30115"
"2062","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.304269"
"2063","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.307515"
"2064","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.310854"
"2065","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.314274"
"2066","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.317755"
"2067","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.321288"
"2068","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.32488"
"2069","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.328528"
"2070","Total Nacional","Indicador Coyuntural de Fecundidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36655","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36655?tip=AM","1.332228"
