"ano","variable","escenario","valor_pct_pib","unidad","estado_dato","fuente","detalle_fuente"
"2055","coste_total_envejecimiento","baseline","29.4211","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2056","coste_total_envejecimiento","baseline","29.4051","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2057","coste_total_envejecimiento","baseline","29.3698","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2058","coste_total_envejecimiento","baseline","29.3249","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2059","coste_total_envejecimiento","baseline","29.2714","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2060","coste_total_envejecimiento","baseline","29.2139","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2061","coste_total_envejecimiento","baseline","29.1519","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2062","coste_total_envejecimiento","baseline","29.0949","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2063","coste_total_envejecimiento","baseline","29.0417","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2064","coste_total_envejecimiento","baseline","28.9962","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2065","coste_total_envejecimiento","baseline","28.9608","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2066","coste_total_envejecimiento","baseline","28.9341","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2067","coste_total_envejecimiento","baseline","28.9231","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2068","coste_total_envejecimiento","baseline","28.928","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2069","coste_total_envejecimiento","baseline","28.9476","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2070","coste_total_envejecimiento","baseline","28.9916","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2022","gasto_pensiones_publicas_bruto","baseline","13.0866","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
