"fecha_referencia","ambito_geografico","regimen","clase_pension","pensiones","importe_nomina_mensual_eur","pension_media_eur_mes","estado_dato","fuente"
"2026-04-01","Espana","Trabajadores del mar","Viudedad","38257","37117923.67","970.23","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores del mar","Orfandad","4610","3163759.75","686.28","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores del mar","Favor de familiares","1316","1148520.76","872.74","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Minería del carbón","Viudedad","18779","27394897.76","1458.8","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Minería del carbón","Orfandad","1775","1828183.54","1029.96","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Minería del carbón","Favor de familiares","679","901747.09","1328.05","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Accidentes de trabajo","Viudedad","48518","56882943.39","1172.41","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Accidentes de trabajo","Orfandad","9703","5264351.91","542.55","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Accidentes de trabajo","Favor de familiares","414","478612.87","1156.07","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Enfermedades profesionales","Viudedad","8012","12611622.54","1574.09","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Enfermedades profesionales","Orfandad","954","1003178.59","1051.55","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Enfermedades profesionales","Favor de familiares","188","300259.32","1597.12","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","SOVI","Viudedad","15180","8574324.54","564.84","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
