Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
ambos sexos;total;tasas de actividad;1995TIV;51,01
ambos sexos;total;tasas de actividad;1995TIII;51,10
ambos sexos;total;tasas de actividad;1995TII;50,81
ambos sexos;total;tasas de actividad;1995TI;50,90
ambos sexos;total;tasas de actividad;1994TIV;50,95
ambos sexos;total;tasas de actividad;1994TIII;51,00
ambos sexos;total;tasas de actividad;1994TII;51,02
ambos sexos;total;tasas de actividad;1994TI;50,95
ambos sexos;total;tasas de actividad;1993TIV;51,06
ambos sexos;total;tasas de actividad;1993TIII;51,03
ambos sexos;total;tasas de actividad;1993TII;50,69
ambos sexos;total;tasas de actividad;1993TI;50,50
ambos sexos;total;tasas de actividad;1992TIV;50,73
ambos sexos;total;tasas de actividad;1992TIII;50,75
ambos sexos;total;tasas de actividad;1992TII;50,62
ambos sexos;total;tasas de actividad;1992TI;50,61
ambos sexos;total;tasas de actividad;1991TIV;50,86
ambos sexos;total;tasas de actividad;1991TIII;51,03
ambos sexos;total;tasas de actividad;1991TII;50,68
ambos sexos;total;tasas de actividad;1991TI;50,78
ambos sexos;total;tasas de actividad;1990TIV;50,96
ambos sexos;total;tasas de actividad;1990TIII;50,86
ambos sexos;total;tasas de actividad;1990TII;50,68
ambos sexos;total;tasas de actividad;1990TI;50,79
ambos sexos;total;tasas de actividad;1989TIV;50,72
ambos sexos;total;tasas de actividad;1989TIII;50,73
ambos sexos;total;tasas de actividad;1989TII;50,44
ambos sexos;total;tasas de actividad;1989TI;50,55
ambos sexos;total;tasas de actividad;1988TIV;50,60
ambos sexos;total;tasas de actividad;1988TIII;51,00
ambos sexos;total;tasas de actividad;1988TII;50,66
ambos sexos;total;tasas de actividad;1988TI;50,82
ambos sexos;total;tasas de actividad;1987TIV;50,82
ambos sexos;total;tasas de actividad;1987TIII;50,67
ambos sexos;total;tasas de actividad;1987TII;50,06
ambos sexos;total;tasas de actividad;1987TI;49,44
ambos sexos;total;tasas de actividad;1986TIV;49,27
ambos sexos;total;tasas de actividad;1986TIII;49,06
ambos sexos;total;tasas de actividad;1986TII;48,93
ambos sexos;total;tasas de actividad;1986TI;49,01
ambos sexos;total;tasas de actividad;1985TIV;49,02
ambos sexos;total;tasas de actividad;1985TIII;48,95
ambos sexos;total;tasas de actividad;1985TII;48,88
ambos sexos;total;tasas de actividad;1985TI;49,21
ambos sexos;total;tasas de actividad;1984TIV;49,36
ambos sexos;total;tasas de actividad;1984TIII;49,30
ambos sexos;total;tasas de actividad;1984TII;49,17
ambos sexos;total;tasas de actividad;1984TI;49,49
ambos sexos;total;tasas de actividad;1983TIV;49,75
ambos sexos;total;tasas de actividad;1983TIII;49,78
ambos sexos;total;tasas de actividad;1983TII;49,43
ambos sexos;total;tasas de actividad;1983TI;49,58
ambos sexos;total;tasas de actividad;1982TIV;49,81
ambos sexos;total;tasas de actividad;1982TIII;49,71
ambos sexos;total;tasas de actividad;1982TII;49,42
ambos sexos;total;tasas de actividad;1982TI;49,64
ambos sexos;total;tasas de actividad;1981TIV;49,77
ambos sexos;total;tasas de actividad;1981TIII;49,71
ambos sexos;total;tasas de actividad;1981TII;49,54
ambos sexos;total;tasas de actividad;1981TI;49,84
ambos sexos;total;tasas de actividad;1980TIV;50,05
ambos sexos;total;tasas de actividad;1980TIII;50,09
ambos sexos;total;tasas de actividad;1980TII;50,13
ambos sexos;total;tasas de actividad;1980TI;50,55
ambos sexos;total;tasas de actividad;1979TIV;50,73
ambos sexos;total;tasas de actividad;1979TIII;50,77
ambos sexos;total;tasas de actividad;1979TII;50,51
ambos sexos;total;tasas de actividad;1979TI;50,96
ambos sexos;total;tasas de actividad;1978TIV;51,01
ambos sexos;total;tasas de actividad;1978TIII;51,13
ambos sexos;total;tasas de actividad;1978TII;51,05
ambos sexos;total;tasas de actividad;1978TI;51,46
ambos sexos;total;tasas de actividad;1977TIV;51,67
ambos sexos;total;tasas de actividad;1977TIII;51,61
ambos sexos;total;tasas de actividad;1977TII;51,42
ambos sexos;total;tasas de actividad;1977TI;51,84
ambos sexos;total;tasas de actividad;1976TIV;52,11
ambos sexos;total;tasas de actividad;1976TIII;52,46
ambos sexos;total;tasas de paro;1995TIV;22,76
ambos sexos;total;tasas de paro;1995TIII;22,65
ambos sexos;total;tasas de paro;1995TII;22,70
ambos sexos;total;tasas de paro;1995TI;23,49
ambos sexos;total;tasas de paro;1994TIV;23,90
ambos sexos;total;tasas de paro;1994TIII;23,80
ambos sexos;total;tasas de paro;1994TII;24,22
ambos sexos;total;tasas de paro;1994TI;24,55
ambos sexos;total;tasas de paro;1993TIV;23,83
ambos sexos;total;tasas de paro;1993TIII;22,87
ambos sexos;total;tasas de paro;1993TII;22,17
ambos sexos;total;tasas de paro;1993TI;21,69
ambos sexos;total;tasas de paro;1992TIV;20,03
ambos sexos;total;tasas de paro;1992TIII;18,27
ambos sexos;total;tasas de paro;1992TII;17,71
ambos sexos;total;tasas de paro;1992TI;17,40
ambos sexos;total;tasas de paro;1991TIV;16,93
ambos sexos;total;tasas de paro;1991TIII;16,33
ambos sexos;total;tasas de paro;1991TII;15,88
ambos sexos;total;tasas de paro;1991TI;16,11
ambos sexos;total;tasas de paro;1990TIV;16,09
ambos sexos;total;tasas de paro;1990TIII;15,85
ambos sexos;total;tasas de paro;1990TII;16,25
ambos sexos;total;tasas de paro;1990TI;16,76
ambos sexos;total;tasas de paro;1989TIV;16,88
ambos sexos;total;tasas de paro;1989TIII;16,56
ambos sexos;total;tasas de paro;1989TII;17,26
ambos sexos;total;tasas de paro;1989TI;18,26
ambos sexos;total;tasas de paro;1988TIV;18,31
ambos sexos;total;tasas de paro;1988TIII;19,04
ambos sexos;total;tasas de paro;1988TII;19,61
ambos sexos;total;tasas de paro;1988TI;19,99
ambos sexos;total;tasas de paro;1987TIV;19,75
ambos sexos;total;tasas de paro;1987TIII;19,93
ambos sexos;total;tasas de paro;1987TII;20,20
ambos sexos;total;tasas de paro;1987TI;21,01
ambos sexos;total;tasas de paro;1986TIV;20,64
ambos sexos;total;tasas de paro;1986TIII;20,59
ambos sexos;total;tasas de paro;1986TII;21,02
ambos sexos;total;tasas de paro;1986TI;21,65
ambos sexos;total;tasas de paro;1985TIV;21,48
ambos sexos;total;tasas de paro;1985TIII;21,30
ambos sexos;total;tasas de paro;1985TII;21,53
ambos sexos;total;tasas de paro;1985TI;21,50
ambos sexos;total;tasas de paro;1984TIV;21,08
ambos sexos;total;tasas de paro;1984TIII;19,97
ambos sexos;total;tasas de paro;1984TII;19,67
ambos sexos;total;tasas de paro;1984TI;19,60
ambos sexos;total;tasas de paro;1983TIV;17,97
ambos sexos;total;tasas de paro;1983TIII;17,18
ambos sexos;total;tasas de paro;1983TII;16,88
ambos sexos;total;tasas de paro;1983TI;17,28
ambos sexos;total;tasas de paro;1982TIV;16,61
ambos sexos;total;tasas de paro;1982TIII;15,93
ambos sexos;total;tasas de paro;1982TII;15,33
ambos sexos;total;tasas de paro;1982TI;15,51
ambos sexos;total;tasas de paro;1981TIV;14,99
ambos sexos;total;tasas de paro;1981TIII;14,11
ambos sexos;total;tasas de paro;1981TII;13,64
ambos sexos;total;tasas de paro;1981TI;13,38
ambos sexos;total;tasas de paro;1980TIV;12,43
ambos sexos;total;tasas de paro;1980TIII;11,48
ambos sexos;total;tasas de paro;1980TII;11,12
ambos sexos;total;tasas de paro;1980TI;10,63
ambos sexos;total;tasas de paro;1979TIV;9,52
ambos sexos;total;tasas de paro;1979TIII;8,72
ambos sexos;total;tasas de paro;1979TII;8,17
ambos sexos;total;tasas de paro;1979TI;8,13
ambos sexos;total;tasas de paro;1978TIV;7,62
ambos sexos;total;tasas de paro;1978TIII;7,07
ambos sexos;total;tasas de paro;1978TII;6,61
ambos sexos;total;tasas de paro;1978TI;6,47
ambos sexos;total;tasas de paro;1977TIV;5,69
ambos sexos;total;tasas de paro;1977TIII;5,34
ambos sexos;total;tasas de paro;1977TII;4,78
ambos sexos;total;tasas de paro;1977TI;4,93
ambos sexos;total;tasas de paro;1976TIV;4,72
ambos sexos;total;tasas de paro;1976TIII;4,41
ambos sexos;total;tasas de empleo;1995TIV;39,40
ambos sexos;total;tasas de empleo;1995TIII;39,53
ambos sexos;total;tasas de empleo;1995TII;39,28
ambos sexos;total;tasas de empleo;1995TI;38,94
ambos sexos;total;tasas de empleo;1994TIV;38,77
ambos sexos;total;tasas de empleo;1994TIII;38,86
ambos sexos;total;tasas de empleo;1994TII;38,66
ambos sexos;total;tasas de empleo;1994TI;38,44
ambos sexos;total;tasas de empleo;1993TIV;38,90
ambos sexos;total;tasas de empleo;1993TIII;39,36
ambos sexos;total;tasas de empleo;1993TII;39,45
ambos sexos;total;tasas de empleo;1993TI;39,55
ambos sexos;total;tasas de empleo;1992TIV;40,57
ambos sexos;total;tasas de empleo;1992TIII;41,48
ambos sexos;total;tasas de empleo;1992TII;41,65
ambos sexos;total;tasas de empleo;1992TI;41,81
ambos sexos;total;tasas de empleo;1991TIV;42,25
ambos sexos;total;tasas de empleo;1991TIII;42,70
ambos sexos;total;tasas de empleo;1991TII;42,63
ambos sexos;total;tasas de empleo;1991TI;42,60
ambos sexos;total;tasas de empleo;1990TIV;42,77
ambos sexos;total;tasas de empleo;1990TIII;42,80
ambos sexos;total;tasas de empleo;1990TII;42,45
ambos sexos;total;tasas de empleo;1990TI;42,28
ambos sexos;total;tasas de empleo;1989TIV;42,16
ambos sexos;total;tasas de empleo;1989TIII;42,33
ambos sexos;total;tasas de empleo;1989TII;41,73
ambos sexos;total;tasas de empleo;1989TI;41,32
ambos sexos;total;tasas de empleo;1988TIV;41,33
ambos sexos;total;tasas de empleo;1988TIII;41,29
ambos sexos;total;tasas de empleo;1988TII;40,72
ambos sexos;total;tasas de empleo;1988TI;40,66
ambos sexos;total;tasas de empleo;1987TIV;40,78
ambos sexos;total;tasas de empleo;1987TIII;40,57
ambos sexos;total;tasas de empleo;1987TII;39,95
ambos sexos;total;tasas de empleo;1987TI;39,05
ambos sexos;total;tasas de empleo;1986TIV;39,10
ambos sexos;total;tasas de empleo;1986TIII;38,96
ambos sexos;total;tasas de empleo;1986TII;38,65
ambos sexos;total;tasas de empleo;1986TI;38,40
ambos sexos;total;tasas de empleo;1985TIV;38,49
ambos sexos;total;tasas de empleo;1985TIII;38,53
ambos sexos;total;tasas de empleo;1985TII;38,36
ambos sexos;total;tasas de empleo;1985TI;38,63
ambos sexos;total;tasas de empleo;1984TIV;38,96
ambos sexos;total;tasas de empleo;1984TIII;39,46
ambos sexos;total;tasas de empleo;1984TII;39,50
ambos sexos;total;tasas de empleo;1984TI;39,79
ambos sexos;total;tasas de empleo;1983TIV;40,81
ambos sexos;total;tasas de empleo;1983TIII;41,23
ambos sexos;total;tasas de empleo;1983TII;41,08
ambos sexos;total;tasas de empleo;1983TI;41,01
ambos sexos;total;tasas de empleo;1982TIV;41,53
ambos sexos;total;tasas de empleo;1982TIII;41,79
ambos sexos;total;tasas de empleo;1982TII;41,84
ambos sexos;total;tasas de empleo;1982TI;41,94
ambos sexos;total;tasas de empleo;1981TIV;42,31
ambos sexos;total;tasas de empleo;1981TIII;42,69
ambos sexos;total;tasas de empleo;1981TII;42,78
ambos sexos;total;tasas de empleo;1981TI;43,17
ambos sexos;total;tasas de empleo;1980TIV;43,83
ambos sexos;total;tasas de empleo;1980TIII;44,34
ambos sexos;total;tasas de empleo;1980TII;44,56
ambos sexos;total;tasas de empleo;1980TI;45,18
ambos sexos;total;tasas de empleo;1979TIV;45,90
ambos sexos;total;tasas de empleo;1979TIII;46,35
ambos sexos;total;tasas de empleo;1979TII;46,38
ambos sexos;total;tasas de empleo;1979TI;46,82
ambos sexos;total;tasas de empleo;1978TIV;47,12
ambos sexos;total;tasas de empleo;1978TIII;47,52
ambos sexos;total;tasas de empleo;1978TII;47,68
ambos sexos;total;tasas de empleo;1978TI;48,14
ambos sexos;total;tasas de empleo;1977TIV;48,73
ambos sexos;total;tasas de empleo;1977TIII;48,85
ambos sexos;total;tasas de empleo;1977TII;48,97
ambos sexos;total;tasas de empleo;1977TI;49,29
ambos sexos;total;tasas de empleo;1976TIV;49,65
ambos sexos;total;tasas de empleo;1976TIII;50,15
ambos sexos;menores de 25 años;tasas de actividad;1995TIV;44,93
ambos sexos;menores de 25 años;tasas de actividad;1995TIII;46,24
ambos sexos;menores de 25 años;tasas de actividad;1995TII;45,11
ambos sexos;menores de 25 años;tasas de actividad;1995TI;45,92
ambos sexos;menores de 25 años;tasas de actividad;1994TIV;46,32
ambos sexos;menores de 25 años;tasas de actividad;1994TIII;47,34
ambos sexos;menores de 25 años;tasas de actividad;1994TII;46,93
ambos sexos;menores de 25 años;tasas de actividad;1994TI;47,35
ambos sexos;menores de 25 años;tasas de actividad;1993TIV;47,74
ambos sexos;menores de 25 años;tasas de actividad;1993TIII;48,24
ambos sexos;menores de 25 años;tasas de actividad;1993TII;46,90
ambos sexos;menores de 25 años;tasas de actividad;1993TI;47,20
ambos sexos;menores de 25 años;tasas de actividad;1992TIV;48,13
ambos sexos;menores de 25 años;tasas de actividad;1992TIII;48,79
ambos sexos;menores de 25 años;tasas de actividad;1992TII;48,32
ambos sexos;menores de 25 años;tasas de actividad;1992TI;48,69
ambos sexos;menores de 25 años;tasas de actividad;1991TIV;49,31
ambos sexos;menores de 25 años;tasas de actividad;1991TIII;50,39
ambos sexos;menores de 25 años;tasas de actividad;1991TII;49,22
ambos sexos;menores de 25 años;tasas de actividad;1991TI;49,85
ambos sexos;menores de 25 años;tasas de actividad;1990TIV;51,05
ambos sexos;menores de 25 años;tasas de actividad;1990TIII;51,74
ambos sexos;menores de 25 años;tasas de actividad;1990TII;51,13
ambos sexos;menores de 25 años;tasas de actividad;1990TI;51,31
ambos sexos;menores de 25 años;tasas de actividad;1989TIV;51,69
ambos sexos;menores de 25 años;tasas de actividad;1989TIII;52,48
ambos sexos;menores de 25 años;tasas de actividad;1989TII;51,46
ambos sexos;menores de 25 años;tasas de actividad;1989TI;52,74
ambos sexos;menores de 25 años;tasas de actividad;1988TIV;53,40
ambos sexos;menores de 25 años;tasas de actividad;1988TIII;55,12
ambos sexos;menores de 25 años;tasas de actividad;1988TII;53,50
ambos sexos;menores de 25 años;tasas de actividad;1988TI;53,66
ambos sexos;menores de 25 años;tasas de actividad;1987TIV;54,13
ambos sexos;menores de 25 años;tasas de actividad;1987TIII;54,30
