Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
ambos sexos;total;tasas de empleo;1996TIII;40,31
ambos sexos;total;tasas de empleo;1996TII;39,75
ambos sexos;total;tasas de empleo;1996TI;39,38
ambos sexos;menores de 25 años;tasas de actividad;2004TIV;48,87
ambos sexos;menores de 25 años;tasas de actividad;2004TIII;51,11
ambos sexos;menores de 25 años;tasas de actividad;2004TII;48,81
ambos sexos;menores de 25 años;tasas de actividad;2004TI;48,10
ambos sexos;menores de 25 años;tasas de actividad;2003TIV;48,45
ambos sexos;menores de 25 años;tasas de actividad;2003TIII;50,20
ambos sexos;menores de 25 años;tasas de actividad;2003TII;48,04
ambos sexos;menores de 25 años;tasas de actividad;2003TI;47,22
ambos sexos;menores de 25 años;tasas de actividad;2002TIV;47,60
ambos sexos;menores de 25 años;tasas de actividad;2002TIII;49,07
ambos sexos;menores de 25 años;tasas de actividad;2002TII;46,97
ambos sexos;menores de 25 años;tasas de actividad;2002TI;46,83
ambos sexos;menores de 25 años;tasas de actividad;2001TIV;47,18
ambos sexos;menores de 25 años;tasas de actividad;2001TIII;48,34
ambos sexos;menores de 25 años;tasas de actividad;2001TII;45,81
ambos sexos;menores de 25 años;tasas de actividad;2001TI;45,21
ambos sexos;menores de 25 años;tasas de actividad;2000TIV;47,82
ambos sexos;menores de 25 años;tasas de actividad;2000TIII;49,16
ambos sexos;menores de 25 años;tasas de actividad;2000TII;46,42
ambos sexos;menores de 25 años;tasas de actividad;2000TI;46,07
ambos sexos;menores de 25 años;tasas de actividad;1999TIV;46,69
ambos sexos;menores de 25 años;tasas de actividad;1999TIII;47,39
ambos sexos;menores de 25 años;tasas de actividad;1999TII;44,97
ambos sexos;menores de 25 años;tasas de actividad;1999TI;45,26
ambos sexos;menores de 25 años;tasas de actividad;1998TIV;45,39
ambos sexos;menores de 25 años;tasas de actividad;1998TIII;46,19
ambos sexos;menores de 25 años;tasas de actividad;1998TII;44,17
ambos sexos;menores de 25 años;tasas de actividad;1998TI;43,94
ambos sexos;menores de 25 años;tasas de actividad;1997TIV;44,69
ambos sexos;menores de 25 años;tasas de actividad;1997TIII;45,14
ambos sexos;menores de 25 años;tasas de actividad;1997TII;43,73
ambos sexos;menores de 25 años;tasas de actividad;1997TI;44,10
ambos sexos;menores de 25 años;tasas de actividad;1996TIV;44,74
ambos sexos;menores de 25 años;tasas de actividad;1996TIII;45,71
ambos sexos;menores de 25 años;tasas de actividad;1996TII;43,88
ambos sexos;menores de 25 años;tasas de actividad;1996TI;44,63
ambos sexos;menores de 25 años;tasas de paro;2004TIV;21,40
ambos sexos;menores de 25 años;tasas de paro;2004TIII;21,60
ambos sexos;menores de 25 años;tasas de paro;2004TII;22,40
ambos sexos;menores de 25 años;tasas de paro;2004TI;22,78
ambos sexos;menores de 25 años;tasas de paro;2003TIV;22,96
ambos sexos;menores de 25 años;tasas de paro;2003TIII;22,31
ambos sexos;menores de 25 años;tasas de paro;2003TII;22,27
ambos sexos;menores de 25 años;tasas de paro;2003TI;23,41
ambos sexos;menores de 25 años;tasas de paro;2002TIV;23,22
ambos sexos;menores de 25 años;tasas de paro;2002TIII;22,11
ambos sexos;menores de 25 años;tasas de paro;2002TII;21,65
ambos sexos;menores de 25 años;tasas de paro;2002TI;22,11
ambos sexos;menores de 25 años;tasas de paro;2001TIV;21,30
ambos sexos;menores de 25 años;tasas de paro;2001TIII;20,72
