Grupos COICOP 2011;Tipo de dato;Periodo;Total
Índice general;Índice;2026M04;102,883
Índice general;Índice;2026M03;102,44
Índice general;Índice;2026M02;101,261
Índice general;Índice;2026M01;100,836
Índice general;Índice;2025M12;101,289
Índice general;Índice;2025M11;100,943
Índice general;Índice;2025M10;100,748
Índice general;Índice;2025M09;100,059
Índice general;Índice;2025M08;100,345
Índice general;Índice;2025M07;100,305
Índice general;Índice;2025M06;100,382
Índice general;Índice;2025M05;99,714
Índice general;Índice;2025M04;99,647
Índice general;Índice;2025M03;99,024
Índice general;Índice;2025M02;98,966
Índice general;Índice;2025M01;98,579
Índice general;Índice;2024M12;98,411
Índice general;Índice;2024M11;97,968
Índice general;Índice;2024M10;97,729
Índice general;Índice;2024M09;97,123
Índice general;Índice;2024M08;97,713
Índice general;Índice;2024M07;97,673
Índice general;Índice;2024M06;98,139
Índice general;Índice;2024M05;97,771
Índice general;Índice;2024M04;97,514
Índice general;Índice;2024M03;96,84
Índice general;Índice;2024M02;96,108
Índice general;Índice;2024M01;95,768
Índice general;Índice;2023M12;95,687
Índice general;Índice;2023M11;95,663
Índice general;Índice;2023M10;95,998
Índice general;Índice;2023M09;95,721
Índice general;Índice;2023M08;95,552
Índice general;Índice;2023M07;95,042
Índice general;Índice;2023M06;94,881
Índice general;Índice;2023M05;94,345
Índice general;Índice;2023M04;94,39
Índice general;Índice;2023M03;93,831
Índice general;Índice;2023M02;93,487
Índice general;Índice;2023M01;92,613
Índice general;Índice;2022M12;92,808
Índice general;Índice;2022M11;92,669
Índice general;Índice;2022M10;92,78
Índice general;Índice;2022M09;92,47
Índice general;Índice;2022M08;93,117
Índice general;Índice;2022M07;92,881
Índice general;Índice;2022M06;93,118
Índice general;Índice;2022M05;91,426
Índice general;Índice;2022M04;90,676
Índice general;Índice;2022M03;90,837
Índice general;Índice;2022M02;88,167
Índice general;Índice;2022M01;87,46
Índice general;Índice;2021M12;87,797
Índice general;Índice;2021M11;86,761
Índice general;Índice;2021M10;86,496
Índice general;Índice;2021M09;84,934
Índice general;Índice;2021M08;84,232
Índice general;Índice;2021M07;83,85
Índice general;Índice;2021M06;84,487
Índice general;Índice;2021M05;84,087
Índice general;Índice;2021M04;83,693
Índice general;Índice;2021M03;82,716
Índice general;Índice;2021M02;81,922
Índice general;Índice;2021M01;82,407
Índice general;Índice;2020M12;82,4
Índice general;Índice;2020M11;82,225
Índice general;Índice;2020M10;82,09
Índice general;Índice;2020M09;81,662
Índice general;Índice;2020M08;81,54
Índice general;Índice;2020M07;81,502
Índice general;Índice;2020M06;82,24
Índice general;Índice;2020M05;81,863
Índice general;Índice;2020M04;81,868
Índice general;Índice;2020M03;81,621
Índice general;Índice;2020M02;81,935
Índice general;Índice;2020M01;82,032
